::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "GET /v1/users HTTP/1.1" 200 187 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "GET /v1/users/35 HTTP/1.1" 200 181 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:23 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:23 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:24 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:30 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:30 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:30 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:30 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:30 +0000] "GET /v1/users HTTP/1.1" 200 187 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:30 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:30 +0000] "GET /v1/users/42 HTTP/1.1" 200 181 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:42:16 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:42:16 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:42:16 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:42:16 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:42:16 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:42:16 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:42:16 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:42:16 +0000] "GET /v1/users HTTP/1.1" 200 187 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:42:16 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:42:16 +0000] "GET /v1/users/49 HTTP/1.1" 200 181 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:43:58 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:43:58 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:43:58 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:27 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:27 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:27 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:27 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:27 +0000] "GET /v1/users HTTP/1.1" 200 187 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:27 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:27 +0000] "GET /v1/users/56 HTTP/1.1" 200 181 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:38 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:38 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:38 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:53 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:53 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:53 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:53 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:53 +0000] "GET /v1/users HTTP/1.1" 200 187 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:53 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:44:53 +0000] "GET /v1/users/63 HTTP/1.1" 200 181 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:46:22 +0000] "POST /v1/auth/login HTTP/1.1" 200 311 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:46:22 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:46:22 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:46:26 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:46:26 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:46:26 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:46:26 +0000] "POST /v1/auth/login HTTP/1.1" 200 311 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:46:26 +0000] "GET /v1/users HTTP/1.1" 200 186 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:46:26 +0000] "POST /v1/auth/login HTTP/1.1" 200 311 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:46:26 +0000] "GET /v1/users/7 HTTP/1.1" 200 180 "-" "-"
::1 - - [28/Mar/2023:21:48:22 +0000] "POST /v1/users HTTP/1.1" 401 1570 "-" "PostmanRuntime/7.29.2"
::1 - - [28/Mar/2023:21:48:51 +0000] "POST /v1/users HTTP/1.1" 200 50 "-" "PostmanRuntime/7.29.2"
::1 - - [28/Mar/2023:21:50:17 +0000] "POST /v1/pets HTTP/1.1" 409 1323 "-" "PostmanRuntime/7.29.2"
::1 - - [28/Mar/2023:21:50:41 +0000] "POST /v1/pets HTTP/1.1" 200 49 "-" "PostmanRuntime/7.29.2"
::ffff:127.0.0.1 - - [28/Mar/2023:21:51:02 +0000] "POST /v1/auth/login HTTP/1.1" 200 311 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:51:02 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:51:02 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:51:05 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:51:05 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:51:05 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:51:05 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:51:05 +0000] "GET /v1/users HTTP/1.1" 200 326 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:51:05 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:51:05 +0000] "GET /v1/users/15 HTTP/1.1" 200 181 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:54:52 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:54:52 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:54:52 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:55:02 +0000] "GET /v1/pets HTTP/1.1" 200 307 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:55:08 +0000] "PATCH /v1/pets/4 HTTP/1.1" 200 49 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:55:08 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:55:08 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:55:08 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:55:08 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:55:08 +0000] "GET /v1/users HTTP/1.1" 200 326 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:55:08 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:55:08 +0000] "GET /v1/users/21 HTTP/1.1" 200 181 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:57:08 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:57:08 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:57:08 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:57:08 +0000] "GET /v1/pets HTTP/1.1" 200 307 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:57:08 +0000] "PATCH /v1/pets/6 HTTP/1.1" 200 49 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:57:08 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:57:08 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:57:08 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:57:08 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:57:08 +0000] "GET /v1/users HTTP/1.1" 200 326 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:57:08 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:57:08 +0000] "GET /v1/users/27 HTTP/1.1" 200 181 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:59:17 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:59:17 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:59:17 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:59:17 +0000] "GET /v1/pets HTTP/1.1" 200 307 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:59:17 +0000] "PATCH /v1/pets/8 HTTP/1.1" 200 49 "-" "-"
